"","ST","month","n","sum","prop","num_samples","prop_numsamples"
"1","ST15",2019-11-01,23,116,0.2,239,0.096234309623431
"2","ST15",2020-02-01,23,76,0.3,217,0.105990783410138
"3","ST307",2020-01-01,19,74,0.26,197,0.0964467005076142
"4","ST307",2019-11-01,16,116,0.14,239,0.0669456066945607
"5","ST307",2020-02-01,14,76,0.18,217,0.0645161290322581
"6","ST39",2019-08-01,14,56,0.25,213,0.0657276995305164
"7","ST15",2020-03-01,10,71,0.14,213,0.0469483568075117
"8","ST307",2020-03-01,10,71,0.14,213,0.0469483568075117
"9","ST15",2019-12-01,9,22,0.41,73,0.123287671232877
"10","ST17",2020-03-01,9,71,0.13,213,0.0422535211267606
"11","ST3132",2019-09-01,8,40,0.2,111,0.0720720720720721
"12","ST584",2020-03-01,8,71,0.11,213,0.0375586854460094
"13","ST39",2019-09-01,7,40,0.18,111,0.0630630630630631
"14","ST15",2019-10-01,6,61,0.1,148,0.0405405405405405
"15","ST15",2020-01-01,6,74,0.08,197,0.0304568527918782
"16","ST17",2019-09-01,6,40,0.15,111,0.0540540540540541
"17","ST3132",2019-08-01,5,56,0.09,213,0.0234741784037559
"18","ST391",2020-02-01,5,76,0.07,217,0.0230414746543779
"19","ST17",2020-01-01,4,74,0.05,197,0.0203045685279188
"20","ST307",2019-10-01,4,61,0.07,148,0.027027027027027
"21","ST39",2019-11-01,4,116,0.03,239,0.0167364016736402
"22","ST39",2020-01-01,4,74,0.05,197,0.0203045685279188
"23","ST54",2019-11-01,4,116,0.03,239,0.0167364016736402
"24","ST607",2019-10-01,4,61,0.07,148,0.027027027027027
"25","ST17",2019-08-01,3,56,0.05,213,0.0140845070422535
"26","ST307",2019-12-01,3,22,0.14,73,0.0410958904109589
"27","ST39",2019-07-01,3,10,0.3,38,0.0789473684210526
"28","ST607",2019-07-01,3,10,0.3,38,0.0789473684210526
"29","ST17",2019-10-01,2,61,0.03,148,0.0135135135135135
"30","ST17",2019-11-01,2,116,0.02,239,0.00836820083682008
"31","ST1799",2019-08-01,2,56,0.04,213,0.00938967136150235
"32","ST3132",2019-10-01,2,61,0.03,148,0.0135135135135135
"33","ST3132",2019-11-01,2,116,0.02,239,0.00836820083682008
"34","ST39",2020-02-01,2,76,0.03,217,0.00921658986175115
"35","ST607",2020-03-01,2,71,0.03,213,0.00938967136150235
"36","ST15",2019-08-01,1,56,0.02,213,0.00469483568075117
"37","ST17",2020-02-01,1,76,0.01,217,0.00460829493087558
"38","ST1799",2019-09-01,1,40,0.02,111,0.00900900900900901
"39","ST307",2019-08-01,1,56,0.02,213,0.00469483568075117
"40","ST3132",2020-03-01,1,71,0.01,213,0.00469483568075117
"41","ST39",2019-10-01,1,61,0.02,148,0.00675675675675676
"42","ST39",2019-12-01,1,22,0.05,73,0.0136986301369863
"43","ST391",2019-11-01,1,116,0.01,239,0.00418410041841004
"44","ST607",2019-08-01,1,56,0.02,213,0.00469483568075117
"45","ST607",2019-12-01,1,22,0.05,73,0.0136986301369863
"46","ST607",2020-02-01,1,76,0.01,217,0.00460829493087558
"47","ST15",2019-07-01,0,10,0,38,0
"48","ST15",2019-09-01,0,40,0,111,0
"49","ST17",2019-07-01,0,10,0,38,0
"50","ST17",2019-12-01,0,22,0,73,0
"51","ST1799",2019-07-01,0,10,0,38,0
"52","ST1799",2019-10-01,0,61,0,148,0
"53","ST1799",2019-11-01,0,116,0,239,0
"54","ST1799",2019-12-01,0,22,0,73,0
"55","ST1799",2020-01-01,0,74,0,197,0
"56","ST1799",2020-02-01,0,76,0,217,0
"57","ST1799",2020-03-01,0,71,0,213,0
"58","ST2632",2019-07-01,0,10,0,38,0
"59","ST2632",2019-08-01,0,56,0,213,0
"60","ST2632",2019-09-01,0,40,0,111,0
"61","ST2632",2019-10-01,0,61,0,148,0
"62","ST2632",2019-11-01,0,116,0,239,0
"63","ST2632",2019-12-01,0,22,0,73,0
"64","ST2632",2020-01-01,0,74,0,197,0
"65","ST2632",2020-02-01,0,76,0,217,0
"66","ST2632",2020-03-01,0,71,0,213,0
"67","ST307",2019-07-01,0,10,0,38,0
"68","ST307",2019-09-01,0,40,0,111,0
"69","ST3132",2019-07-01,0,10,0,38,0
"70","ST3132",2019-12-01,0,22,0,73,0
"71","ST3132",2020-01-01,0,74,0,197,0
"72","ST3132",2020-02-01,0,76,0,217,0
"73","ST39",2020-03-01,0,71,0,213,0
"74","ST391",2019-07-01,0,10,0,38,0
"75","ST391",2019-08-01,0,56,0,213,0
"76","ST391",2019-09-01,0,40,0,111,0
"77","ST391",2019-10-01,0,61,0,148,0
"78","ST391",2019-12-01,0,22,0,73,0
"79","ST391",2020-01-01,0,74,0,197,0
"80","ST391",2020-03-01,0,71,0,213,0
"81","ST54",2019-07-01,0,10,0,38,0
"82","ST54",2019-08-01,0,56,0,213,0
"83","ST54",2019-09-01,0,40,0,111,0
"84","ST54",2019-10-01,0,61,0,148,0
"85","ST54",2019-12-01,0,22,0,73,0
"86","ST54",2020-01-01,0,74,0,197,0
"87","ST54",2020-02-01,0,76,0,217,0
"88","ST54",2020-03-01,0,71,0,213,0
"89","ST584",2019-07-01,0,10,0,38,0
"90","ST584",2019-08-01,0,56,0,213,0
"91","ST584",2019-09-01,0,40,0,111,0
"92","ST584",2019-10-01,0,61,0,148,0
"93","ST584",2019-11-01,0,116,0,239,0
"94","ST584",2019-12-01,0,22,0,73,0
"95","ST584",2020-01-01,0,74,0,197,0
"96","ST584",2020-02-01,0,76,0,217,0
"97","ST607",2019-09-01,0,40,0,111,0
"98","ST607",2019-11-01,0,116,0,239,0
"99","ST607",2020-01-01,0,74,0,197,0
